"tmin","condition","text","tmax","duration","maxF0","meanF0","meanF0st","medianF0","minF0","sdF0","midpointF0","slopeF0","maxInt","meanInt","medianInt","minInt","sdInt","midpointInt","medianF1","medianF1Bark","medianF2","medianF2Bark","medianF3","medianF3Bark","SPLH.SPL","file","subject","part","size","v.pos","h.pos","st_maxF0","st_minF0","st_F0range","F1centroid","F2centroid","F1centroidBark","F2centroidBark","vt_expansion","vt_expansionBark","SPLH.SPL.dB","F0range","Fs","hand"
50.602364,"si34","f",50.83,0.227636,NA,239.1805278525,94.8230132522,240.3889090658,NA,NA,NA,NA,66.8118139429,61.4885634471,60.989129845,48.5004294931,4.4681694834,61.0343333371,1311.8371938611,10.1618166231,2064.4468279051,13.1087251182,NA,NA,0.223192478,"id14_part1.csv","14","1","s","3","4",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,759.370999810445,4.63092184700189,-6.51320446016449,NA,120,"r"
52.952851,"sa44","p",52.987619,0.034768,256.3017672614,256.2948337423,96.0199215968,256.3017672614,256.3017672614,NA,NA,NA,70.7439220738,66.529710683,63.9470365357,59.6284227367,5.8427002085,62.445336527,898.463071128,7.8932349201,1544.9481251479,11.2031122461,NA,NA,0.0504674318,"id14_part1.csv","14","1","s","4","4",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,392.596056644395,2.60483935449531,-12.9698879519632,0,120,"r"
53.115628,"sa44","f",53.255277,0.139649,NA,232.7505837563,94.3516790548,232.6568767952,NA,NA,NA,NA,64.0727715767,59.732665149,57.6246666394,50.4122918636,3.5220683706,57.7308930151,812.0509272829,7.329764669,1984.7805558036,12.8465862304,NA,NA,0.1530044662,"id14_part1.csv","14","1","s","4","4",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,281.264021098727,1.79974735275454,-8.15295891942495,NA,120,"r"
55.406304,"ma11","p",55.452344,0.04604,261.6136288415,261.4555652084,96.3650227931,261.6136288415,261.5182412897,NA,NA,-145.8899574574,69.7522458713,65.9845120825,63.6424357777,62.1063458478,3.4025295777,62.1299176297,862.3907541526,7.6626039607,1429.5107733275,10.7053041661,NA,NA,0.0639652679,"id14_part1.csv","14","1","m","1","1",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,453.994686031849,2.68724571746847,-11.9405577685683,0.0953875518000018,120,"r"
55.586054,"ma11","f",55.734683,0.148629,NA,237.9075675537,94.7310882319,NA,NA,NA,NA,NA,67.8230445244,63.7355567123,64.9164953013,52.4913114522,4.4467164155,65.1988571777,932.9704201421,8.1078582628,2114.6817313887,13.2685578252,NA,NA,0.3841268988,"id14_part1.csv","14","1","m","1","1",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,458.141782376806,2.66622549743273,-4.15525279943964,NA,120,"r"
57.979882,"sa33","p",58.016824,0.036942,260.6979527115,260.4520428335,96.2983677363,260.6979527115,260.4181199336,NA,NA,-268.1335225533,69.1013230325,68.0770214665,64.5139691494,62.6495916363,3.3825162814,64.813269954,903.5899037005,7.9256360889,2206.8341761473,13.5554980358,NA,NA,0.0949743012,"id14_part1.csv","14","1","s","3","3",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,507.622769889542,2.60730722953993,-10.2239389320468,0.279832777900026,120,"r"
58.159687,"sa33","f",58.33,0.170313,NA,232.2302977334,94.3129472647,232.2168461776,NA,NA,NA,NA,62.7281609707,59.7140404711,59.1550682859,44.8059644942,5.3948713151,59.4981957188,1136.1278945265,9.2739237912,1950.547855505,12.7309907017,NA,NA,0.2238325959,"id14_part1.csv","14","1","s","3","3",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,556.86423487828,3.70385632628364,-6.50076668528428,NA,120,"r"
60.452806,"mi32","p",60.494094,0.041288,258.2248967761,257.8479899223,96.124230745,257.3103417081,257.3103417081,NA,NA,317.6605903093,71.7607417919,65.0042470273,60.9087292675,55.2480711921,7.84183992,57.9485966011,1202.3643453858,9.6200544107,1791.0918372583,12.1671081252,NA,NA,0.0412615787,"id14_part1.csv","14","1","m","3","2",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,602.430211688869,4.04314786474809,-13.844541596013,0.914555068000027,120,"r"
60.600627,"mi32","f",60.772579,0.171952,NA,237.9752232416,94.7358660513,237.6503585367,NA,NA,NA,NA,66.1954594274,63.3104039801,62.7774862924,47.3124258361,5.4557234959,62.8589197459,1282.332003793,10.019853905,2222.6991711022,13.6031547621,NA,NA,0.3556591654,"id14_part1.csv","14","1","m","3","2",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,802.652821991337,4.59376250874269,-4.48965994975817,NA,120,"r"
63.034044,"si35","p",63.068395,0.034351,268.9227115298,268.9053718844,96.8514516367,268.9227115298,268.9227115298,NA,NA,NA,70.6880253375,67.2001081821,63.9120963796,61.8137344669,4.7197494011,63.193339111,925.0633524526,8.0596463309,1798.5413166238,12.1944562522,NA,NA,0.045844672,"id14_part1.csv","14","1","s","3","5",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,325.066625270752,2.48476626581906,-13.3871113012383,0,120,"r"
