tmin	condition	text	tmax	duration	maxF0	meanF0	meanF0st	medianF0	minF0	sdF0	midpointF0	slopeF0	maxInt	meanInt	medianInt	minInt	sdInt	midpointInt	medianF1	medianF1Bark	medianF2	medianF2Bark	medianF3	medianF3Bark	SPLH.SPL	file	subject
74,201457	mi31	f	74,35	0,148543	235,4866457851	235,3031904062	94,5404446834	235,3695167699	234,630501363	0,9963609713	NA	-98,5353875876	62,412534081	56,6796658581	53,3110876064	50,3955960919	2,91111428	54,0957846815	897,6986230755	7,8884956329	1872,3739742861	12,4597619942	NA	NA	0,066815481	id3_part2.csv	3
77,384293	sa15	p	77,449584	0,065291	204,8342789558	204,8342789558	92,1397603188	NA	204,8342789558	NA	NA	NA	67,2074564267	65,2952415773	64,7514401881	63,2509758773	1,4787966846	64,9364036279	1034,4566647343	8,711179909	1646,8176007739	11,6169662328	NA	NA	0,1182057385	id3_part2.csv	3
77,449584	sa15	a	77,571452	0,121868	197,4674174558	175,807577272	89,4458451848	169,9656542215	162,0788194608	14,2688331963	169,7228910318	-362,9808275662	70,3743294594	68,8171216191	69,1345977504	60,1819240204	2,9767334202	70,2055811991	902,1997285148	7,9164724485	1681,4520916416	11,7529353421	NA	NA	0,0517280144	id3_part2.csv	3
77,571452	sa15	f	77,729669	0,158217	NA	155,7815906186	87,4005713251	NA	NA	NA	NA	NA	55,2568358486	51,5228086646	50,3476780467	48,5279769023	1,6048899316	49,0888382547	785,1867800168	7,1462190887	1854,0539130055	12,3949137349	NA	NA	0,0223271663	id3_part2.csv	3
80,337415	si42	p	80,389662	0,052247	250,5766697804	249,6689517729	95,566204414	248,7092255377	248,7092255377	NA	NA	197,8790801009	69,8547354128	64,688981429	61,422393937	58,0834647984	4,3966147134	58,1830916454	1091,7852216837	9,0315542711	1870,9415951697	12,4548600028	NA	NA	0,0461260344	id3_part2.csv	3
80,389662	si42	I	80,525615	0,135953	249,079854032	242,6797129235	95,0726374166	241,5891661327	238,4409275465	4,1920407985	240,986081896	-124,9518315602	78,3667915644	75,8663158173	75,5402282384	63,1883720502	4,5168989146	76,7602091796	601,5265577365	5,7935070109	1957,6218045935	12,7550320291	NA	NA	0,0828279344	id3_part2.csv	3
80,525615	si42	f	80,672209	0,146594	NA	238,7059192483	94,7890863779	NA	NA	NA	NA	NA	57,0801648622	54,2464293784	53,2109228817	50,9251020107	1,6239125022	53,6521891496	1024,4652593586	8,6533195083	1967,3032859707	12,7878005952	NA	NA	0,0696714534	id3_part2.csv	3
83,100087	mi35	p	83,197062	0,096975	NA	242,2183754422	95,0419135106	242,2964070977	NA	NA	NA	NA	67,1791560809	62,5511977634	58,8807152238	54,3592976155	4,4533329054	54,8644384885	793,1266350331	7,2018606542	1945,3585118796	12,7132963848	NA	NA	0,0414463824	id3_part2.csv	3
83,197062	mi35	I	83,327851	0,130789	236,9771180184	228,7585922065	94,0478486241	227,5557494829	223,5321604484	5,478709595	225,2959714744	-169,4457643547	76,6480921362	74,3826523404	74,6525418433	66,0153396086	3,4712065503	75,5590193841	606,9204869211	5,8359712961	2038,6799751031	13,0251013398	NA	NA	0,0565451417	id3_part2.csv	3
83,327851	mi35	f	83,485661	0,15781	227,8165910843	228,240505125	94,01158632	227,272143126	226,0417781073	3,6260959111	NA	-108,431877871	62,1432916168	53,7687599462	51,6127973301	46,9713851548	3,9843832238	51,7282875569	976,6576627724	8,3717663965	1874,5472034197	12,467416557	NA	NA	0,0335181513	id3_part2.csv	3
86,698031	ma51	p	86,739151	0,04112	201,0978968451	201,1084294565	91,8219564087	201,0973104101	201,0973104101	NA	NA	15,0367948671	70,9448815047	69,8834680239	69,2706838155	68,199105858	1,1655639639	69,1227743827	868,1182759222	7,6995966292	1776,9962499326	12,1151839442	NA	NA	0,1835069807	id3_part2.csv	3
86,739151	ma51	a	86,85593	0,116779	201,1813476273	189,4587969336	90,7749812627	187,4145644513	179,8653407763	8,1662369037	188,6543541227	-279,3802502125	75,4337262214	73,160357359	73,6111297501	65,4419350329	3,1470947823	73,5414948187	1250,670934007	9,8641778941	1779,1428487799	12,1227494607	NA	NA	0,1015752699	id3_part2.csv	3
